src_port,dst_port,ip_version,protocol,duration,packet_count,total_bytes,avg_packet_size,packets_per_sec,syn_count,ack_count,fin_count,rst_count,label
53,46389,4,UDP,0.142,2,224,112.0,14.05,0,0,0,0,0
53,41161,4,UDP,0.143,2,236,118.0,13.95,0,0,0,0,0
53,51504,4,UDP,0.044,2,216,108.0,45.94,0,0,0,0,0
53,53357,4,UDP,0.049,2,228,114.0,41.08,0,0,0,0,0
53,51966,4,UDP,0.272,2,216,108.0,7.36,0,0,0,0,0
53,49329,4,UDP,0.272,2,240,120.0,7.34,0,0,0,0,0
60624,443,4,TCP,5.821,19,4586,241.37,3.26,3,18,1,1,0
53,58520,4,UDP,0.001,1,235,235.0,1000.0,0,0,0,0,0
53,45323,4,UDP,0.001,1,143,143.0,1000.0,0,0,0,0,0
53,51241,4,UDP,0.053,2,188,94.0,38.02,0,0,0,0,0
53,37329,4,UDP,0.003,2,284,142.0,781.64,0,0,0,0,0
53,44053,4,UDP,0.112,2,182,91.0,17.81,0,0,0,0,0
53,60091,4,UDP,0.05,2,259,129.5,40.4,0,0,0,0,0
53,58715,4,UDP,0.05,2,259,129.5,40.05,0,0,0,0,0
54942,443,4,TCP,2.174,30,9328,310.93,13.8,2,24,2,5,0
54946,443,4,TCP,2.772,39,12327,316.08,14.07,2,38,2,0,0
54960,443,4,TCP,21.654,39,11196,287.08,1.8,2,38,1,0,0
52574,443,4,UDP,17.006,21,15179,722.81,1.23,0,0,0,0,0
53,39375,4,UDP,0.004,2,243,121.5,481.14,0,0,0,0,0
53,43407,4,UDP,0.005,2,305,152.5,420.61,0,0,0,0,0
53,52339,4,UDP,0.108,2,249,124.5,18.43,0,0,0,0,0
53,55916,4,UDP,0.151,2,200,100.0,13.25,0,0,0,0,0
53,34278,4,UDP,0.152,2,208,104.0,13.18,0,0,0,0,0
53,53918,4,UDP,0.05,2,220,110.0,40.2,0,0,0,0,0
53,37106,4,UDP,26.519,4,563,140.75,0.15,0,0,0,0,0
53,54848,4,UDP,0.009,2,200,100.0,221.45,0,0,0,0,0
443,41658,4,TCP,2.485,32,11191,349.72,12.88,2,31,2,0,0
443,38912,6,TCP,1.027,2,188,94.0,1.95,2,0,0,0,0
443,41664,4,TCP,176.554,188,123370,656.22,1.06,2,187,2,0,0
443,38924,6,TCP,1.068,2,188,94.0,1.87,2,0,0,0,0
443,42276,4,TCP,172.278,43,12127,282.02,0.25,3,42,2,0,0
443,33711,6,UDP,25.757,14,18116,1294.0,0.54,0,0,0,0,0
56728,443,4,TCP,7.47,13,4158,319.85,1.74,2,12,1,0,0
53,46014,4,UDP,0.064,2,266,133.0,31.19,0,0,0,0,0
53,44820,4,UDP,0.033,2,284,142.0,60.65,0,0,0,0,0
53,34694,4,UDP,0.047,2,284,142.0,42.2,0,0,0,0,0
48478,443,4,TCP,1.635,26,10096,388.31,15.9,2,25,1,1,0
48482,443,4,TCP,172.027,40,13444,336.1,0.23,2,39,2,0,0
53,60195,4,UDP,0.043,2,196,98.0,47.02,0,0,0,0,0
53,41779,4,UDP,0.065,2,238,119.0,30.66,0,0,0,0,0
53,57502,4,UDP,0.226,2,261,130.5,8.86,0,0,0,0,0
53,50353,4,UDP,0.153,2,261,130.5,13.09,0,0,0,0,0
45644,443,4,TCP,1.749,29,10287,354.72,16.58,2,28,2,0,0
45660,443,4,TCP,4.181,73,37489,513.55,17.46,2,72,1,0,0
